Title,PMID,DOI,Authors,Published Date,URL,PDF URL
Artificial intelligence and open science in discovery of disease-modifying medicines for Alzheimer’s disease,PMC10897520,10.1016/j.xcrm.2023.101379,"Feixiong Cheng, Fei Wang, Jian Tang, Yadi Zhou, Zhimin Fu, Pengyue Zhang, Jonathan L Haines, James B Leverenz, Li Gan, Jianying Hu, Michal Rosen-Zvi, Andrew A Pieper, Jeffrey Cummings",2024 Feb 20/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC10897520,https://pmc.ncbi.nlm.nih.gov/articles/PMC10897520/pdf/main.pdf
Dementia Ideal Care: Ecosystem Map of Best Practices and Care Pathways Enhanced by Technology and Community,PMC11307099,10.3233/JAD-231491,"Wen Dombrowski, Adrienne Mims, Ian Kremer, Pedro Cano Desandes, Silvia Rodrigo-Herrero, Fayron Epps, Teepa Snow, Myrna Gutierrez, Anil Nasta, Mikele Bunce Epperly, Katrina Manaloto, Jennie Chin Hansen",2024 Jun 25/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11307099,https://pmc.ncbi.nlm.nih.gov/articles/PMC11307099/pdf/jad-100-jad231491.pdf
"Brain aging patterns in a large and diverse cohort of 49,482 individuals",PMC11483219,10.1038/s41591-024-03144-x,"Zhijian Yang, Junhao Wen, Guray Erus, Sindhuja T Govindarajan, Randa Melhem, Elizabeth Mamourian, Yuhan Cui, Dhivya Srinivasan, Ahmed Abdulkadir, Paraskevi Parmpi, Katharina Wittfeld, Hans J Grabe, Robin Bülow, Stefan Frenzel, Duygu Tosun, Murat Bilgel, Yang An, Dahyun Yi, Daniel S Marcus, Pamela LaMontagne, Tammie L S Benzinger, Susan R Heckbert, Thomas R Austin, Shari R Waldstein, Michele K Evans, Alan B Zonderman, Lenore J Launer, Aristeidis Sotiras, Mark A Espeland, Colin L Masters, Paul Maruff, Jurgen Fripp, Arthur W Toga, Sid O’Bryant, Mallar M Chakravarty, Sylvia Villeneuve, Sterling C Johnson, John C Morris, Marilyn S Albert, Kristine Yaffe, Henry Völzke, Luigi Ferrucci, R Nick Bryan, Russell T Shinohara, Yong Fan, Mohamad Habes, Paris Alexandros Lalousis, Nikolaos Koutsouleris, David A Wolk, Susan M Resnick, Haochang Shou, Ilya M Nasrallah, Christos Davatzikos",2024 Aug 15/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11483219,https://pmc.ncbi.nlm.nih.gov/articles/PMC11483219/pdf/nihms-2020899.pdf
Gene-SGAN: discovering disease subtypes with imaging and genetic signatures via multi-view weakly-supervised deep clustering,PMC10774282,10.1038/s41467-023-44271-2,"Zhijian Yang, Junhao Wen, Ahmed Abdulkadir, Yuhan Cui, Guray Erus, Elizabeth Mamourian, Randa Melhem, Dhivya Srinivasan, Sindhuja T Govindarajan, Jiong Chen, Mohamad Habes, Colin L Masters, Paul Maruff, Jurgen Fripp, Luigi Ferrucci, Marilyn S Albert, Sterling C Johnson, John C Morris, Pamela LaMontagne, Daniel S Marcus, Tammie L S Benzinger, David A Wolk, Li Shen, Jingxuan Bao, Susan M Resnick, Haochang Shou, Ilya M Nasrallah, Christos Davatzikos",2024 Jan 8/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC10774282,https://pmc.ncbi.nlm.nih.gov/articles/PMC10774282/pdf/41467_2023_Article_44271.pdf
"10th European Stroke Organisation Conference Abstracts – 15-17 May 2024, Basel, Switzerland",PMC11157553,10.1177/23969873241245672,,2024 May 15/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11157553,https://pmc.ncbi.nlm.nih.gov/articles/PMC11157553/pdf/10.1177_23969873241245672.pdf
Introduction to Large Language Models (LLMs) for dementia care and research,PMC11285660,10.3389/frdem.2024.1385303,"Matthias S Treder, Sojin Lee, Kamen A Tsvetanov",2024 May 14/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11285660,https://pmc.ncbi.nlm.nih.gov/articles/PMC11285660/pdf/frdem-03-1385303.pdf
Investigating the Potential Impact of Air Pollution on Alzheimer’s Disease and the Utility of Multidimensional Imaging for Early Detection,PMC10905749,10.1021/acsomega.3c06328,"Ankul Singh S, Mohd Nazam Ansari, Gehan M Elossaily, Chitra Vellapandian, Bhupendra Prajapati",2024 Feb 15/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC10905749,https://pmc.ncbi.nlm.nih.gov/articles/PMC10905749/pdf/ao3c06328.pdf
The Role of AI in Hospitals and Clinics: Transforming Healthcare in the 21st Century,PMC11047988,10.3390/bioengineering11040337,"Shiva Maleki Varnosfaderani, Mohamad Forouzanfar",2024 Mar 29/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11047988,https://pmc.ncbi.nlm.nih.gov/articles/PMC11047988/pdf/bioengineering-11-00337.pdf
An interpretable generative multimodal neuroimaging-genomics framework for decoding Alzheimer’s disease,PMC11213156,No DOI scraped,"Giorgio Dolci, Federica Cruciani, Md Abdur Rahaman, Anees Abrol, Jiayu Chen, Zening Fu, Ilaria Boscolo Galazzo, Gloria Menegaz, Vince D Calhoun, Alzheimer’s Disease Neuroimaging Initiative",2024 Jun 19/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11213156,https://pmc.ncbi.nlm.nih.gov/articles/PMC11213156/pdf/nihpp-2406.13292v1.pdf
Association between adding salt in food and dementia in European descent: A mendelian randomization study,PMC11069030,10.1002/brb3.3516,"Ren Zhou, Fei Chen, Lei Zhang, Yu Sun, Rong Hu, Jia Yan, Hong Jiang",2024 May 3/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11069030,https://pmc.ncbi.nlm.nih.gov/articles/PMC11069030/pdf/BRB3-14-e3516.pdf
Deep Learning for Alzheimer’s Disease Prediction: A Comprehensive Review,PMC11202897,10.3390/diagnostics14121281,"Isra Malik, Ahmed Iqbal, Yeong Hyeon Gu, Mugahed A Al-antari",2024 Jun 17/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11202897,https://pmc.ncbi.nlm.nih.gov/articles/PMC11202897/pdf/diagnostics-14-01281.pdf
Intelligent digital tools for screening of brain connectivity and dementia risk estimation in people affected by mild cognitive impairment: the AI-Mind clinical study protocol,PMC10796757,10.3389/fnbot.2023.1289406,"Ira H Haraldsen, Christoffer Hatlestad-Hall, Camillo Marra, Hanna Renvall, Fernando Maestú, Jorge Acosta-Hernández, Soraya Alfonsin, Vebjørn Andersson, Abhilash Anand, Victor Ayllón, Aleksandar Babic, Asma Belhadi, Cindy Birck, Ricardo Bruña, Naike Caraglia, Claudia Carrarini, Erik Christensen, Americo Cicchetti, Signe Daugbjerg, Rossella Di Bidino, Ana Diaz-Ponce, Ainar Drews, Guido Maria Giuffrè, Jean Georges, Pedro Gil-Gregorio, Dianne Gove, Tim M Govers, Harry Hallock, Marja Hietanen, Lone Holmen, Jaakko Hotta, Samuel Kaski, Rabindra Khadka, Antti S Kinnunen, Anne M Koivisto, Shrikanth Kulashekhar, Denis Larsen, Mia Liljeström, Pedro G Lind, Alberto Marcos Dolado, Serena Marshall, Susanne Merz, Francesca Miraglia, Juha Montonen, Ville Mäntynen, Anne Rita Øksengård, Javier Olazarán, Teemu Paajanen, José M Peña, Luis Peña, Daniel lrabien Peniche, Ana S Perez, Mohamed Radwan, Federico Ramírez-Toraño, Andrea Rodríguez-Pedrero, Timo Saarinen, Mario Salas-Carrillo, Riitta Salmelin, Sonia Sousa, Abdillah Suyuthi, Mathias Toft, Pablo Toharia, Thomas Tveitstøl, Mats Tveter, Ramesh Upreti, Robin J Vermeulen, Fabrizio Vecchio, Anis Yazidi, Paolo Maria Rossini",2024 Jan 5/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC10796757,https://pmc.ncbi.nlm.nih.gov/articles/PMC10796757/pdf/fnbot-17-1289406.pdf
Posters,PMC11208286,10.1002/2211-5463.13837,,2024 Jun 26/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11208286,https://pmc.ncbi.nlm.nih.gov/articles/PMC11208286/pdf/FEB4-14-92.pdf
A Comprehensive Review on Synergy of Multi-Modal Data and AI Technologies in Medical Diagnosis,PMC10967767,10.3390/bioengineering11030219,"Xi Xu, Jianqiang Li, Zhichao Zhu, Linna Zhao, Huina Wang, Changwei Song, Yining Chen, Qing Zhao, Jijiang Yang, Yan Pei",2024 Feb 25/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC10967767,https://pmc.ncbi.nlm.nih.gov/articles/PMC10967767/pdf/bioengineering-11-00219.pdf
Artificial Intelligence and Technology Collaboratories: Innovating aging research and Alzheimer's care,PMC11032553,10.1002/alz.13710,"Peter Abadir, Esther Oh, Rama Chellappa, Niteesh Choudhry, George Demiris, Deepak Ganesan, Jason Karlawish, Benjamin Marlin, Rose M Li, Najim Dehak, Alicia Arbaje, Mathias Unberath, Thomas Cudjoe, Christopher Chute, Jason H Moore, Phillip Phan, Quincy Samus, Nancy L Schoenborn, Alexis Battle, Jeremy D Walston",2024 Feb 7/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11032553,https://pmc.ncbi.nlm.nih.gov/articles/PMC11032553/pdf/ALZ-20-3074.pdf
Serotonergic dysfunction may mediate the relationship between alcohol consumption and Alzheimer’s disease,PMC11088857,10.1016/j.phrs.2024.107171,"Samantha R Pierson, Louis J Kolling, Thomas D James, Selvakumar Govindhasamy Pushpavathi, Catherine A Marcinkiewcz",2024 Apr 9/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11088857,https://pmc.ncbi.nlm.nih.gov/articles/PMC11088857/pdf/nihms-1985981.pdf
ePosters Virtual,PMC11235798,10.1111/ene.16340,,2024 Jun 28/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11235798,https://pmc.ncbi.nlm.nih.gov/articles/PMC11235798/pdf/ENE-31-e16340.pdf
Gene networks and systems biology in Alzheimer's disease: Insights from multi‐omics approaches,PMC11095483,10.1002/alz.13790,"Negin Rahimzadeh, Shushrruth Sai Srinivasan, Jing Zhang, Vivek Swarup",2024 Mar 27/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11095483,https://pmc.ncbi.nlm.nih.gov/articles/PMC11095483/pdf/ALZ-20-3587.pdf
Brain clocks capture diversity and disparity in aging and dementia,PMC11230497,10.21203/rs.3.rs-4150225/v1,"Sebastian Moguilner, Sandra Baez, Hernan Hernandez, Joaquín Migeot, Agustina Legaz, Raul Gonzalez-Gomez, Francesca R Farina, Pavel Prado, Jhosmary Cuadros, Enzo Tagliazucchi, Florencia Altschuler, Marcelo Adrián Maito, María E Godoy, Josephine Cruzat, Pedro A Valdes-Sosa, Francisco Lopera, John Fredy Ochoa-Gómez, Alfredis Gonzalez Hernandez, Jasmin Bonilla-Santos, Rodrigo A Gonzalez-Montealegre, Renato Anghinah, Luís E d’Almeida Manfrinati, Sol Fittipaldi, Vicente Medel, Daniela Olivares, Görsev G Yener, Javier Escudero, Claudio Babiloni, Robert Whelan, Bahar Güntekin, Harun Yırıkoğulları, Hernando Santamaria-Garcia, Alberto Fernández Lucas, David Huepe, Gaetano Di Caterina, Marcio Soto-Añari, Agustina Birba, Agustin Sainz-Ballesteros, Carlos Coronel-Oliveros, Amanuel Yigezu, Eduar Herrera, Daniel Abasolo, Kerry Kilborn, Nicolás Rubido, Ruaridh A Clark, Ruben Herzog, Deniz Yerlikaya, Kun Hu, Mario A Parra, Pablo Reyes, Adolfo M García, Diana L Matallana, José Alberto Avila-Funes, Andrea Slachevsky, María I Behrens, Nilton Custodio, Juan F Cardona, Pablo Barttfeld, Ignacio L Brusco, Martín A Bruno, Ana L Sosa Ortiz, Stefanie D Pina-Escudero, Leonel T Takada, Elisa Resende, Katherine L Possin, Maira Okada de Oliveira, Alejandro Lopez-Valdes, Brain Lawlor, Ian H Robertson, Kenneth S Kosik, Claudia Duran-Aniotz, Victor Valcour, Jennifer S Yokoyama, Bruce L Miller, Agustin Ibanez",2024 Jun 25/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11230497,https://pmc.ncbi.nlm.nih.gov/articles/PMC11230497/pdf/nihpp-rs4150225v1.pdf
Alzheimer's disease stage recognition from MRI and PET imaging data using Pareto-optimal quantum dynamic optimization,PMC11320145,10.1016/j.heliyon.2024.e34402,"Modupe Odusami, Robertas Damaševičius, Egle Milieškaitė-Belousovienė, Rytis Maskeliūnas",2024 Jul 15/01/01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11320145,https://pmc.ncbi.nlm.nih.gov/articles/PMC11320145/pdf/main.pdf
